epoch,train_loss,val_loss,train_acc,val_acc,val_f1
1,1.7065,1.0465,0.5226,0.4935,0.452
2,1.2559,0.9775,0.5951,0.5215,0.481
3,1.0721,0.9567,0.6476,0.5662,0.5137
4,0.9382,0.9065,0.6934,0.6193,0.5554
5,0.8658,0.9044,0.7109,0.6199,0.5601
6,0.7926,0.9027,0.7379,0.6252,0.5658
7,0.7561,0.8901,0.7528,0.633,0.572
8,0.6957,0.8697,0.773,0.6714,0.5991
9,0.6568,0.8493,0.7893,0.6711,0.6097
10,0.6334,0.8585,0.7984,0.6718,0.6044
11,0.5958,0.8363,0.8067,0.689,0.6209
12,0.565,0.855,0.8255,0.6858,0.6251
13,0.5619,0.8372,0.8293,0.6842,0.6123
14,0.5541,0.8244,0.8324,0.7044,0.6384
15,0.5318,0.8132,0.8438,0.6975,0.6287
16,0.5206,0.8221,0.8497,0.7047,0.6298
17,0.496,0.8243,0.8574,0.7187,0.6498
18,0.495,0.8362,0.8614,0.7011,0.628
19,0.4764,0.8194,0.8703,0.7158,0.6493
20,0.4721,0.8013,0.8729,0.7278,0.6609
21,0.4607,0.8151,0.8723,0.722,0.6527
22,0.4488,0.8076,0.8825,0.7366,0.665
23,0.4423,0.8062,0.8882,0.7275,0.6533
24,0.4329,0.8071,0.8941,0.7467,0.6768
25,0.4281,0.8157,0.8902,0.737,0.6689
26,0.4286,0.8126,0.8906,0.7419,0.6683
27,0.4206,0.8008,0.8911,0.7422,0.6742
28,0.4136,0.7956,0.8993,0.7461,0.6726
29,0.4019,0.801,0.9058,0.7405,0.6676
30,0.4031,0.8035,0.903,0.7366,0.6668
31,0.3947,0.8042,0.9104,0.7438,0.6747
32,0.3983,0.8078,0.9086,0.749,0.6778
33,0.3948,0.8082,0.9091,0.7458,0.6747
34,0.3925,0.8086,0.9118,0.7533,0.6815
35,0.3884,0.8064,0.9153,0.7471,0.6729
36,0.3907,0.7926,0.914,0.7555,0.6772
37,0.3849,0.7958,0.9163,0.7493,0.6822
38,0.3753,0.7943,0.9195,0.7497,0.6799
39,0.3826,0.7942,0.9174,0.7415,0.6663
40,0.3837,0.7956,0.9131,0.7565,0.6861
41,0.3773,0.801,0.9149,0.7529,0.6785
42,0.3741,0.7958,0.9207,0.7542,0.6766
43,0.3722,0.7942,0.924,0.7591,0.6871
44,0.3674,0.7924,0.9176,0.7493,0.68
45,0.3762,0.7913,0.9169,0.751,0.6779
46,0.3757,0.7941,0.9188,0.7552,0.6828
47,0.369,0.7997,0.9223,0.7604,0.6866
48,0.3689,0.7843,0.9216,0.7621,0.6912
49,0.3684,0.7977,0.9253,0.752,0.6831
50,0.3729,0.7911,0.9215,0.7575,0.6848
